"replicate","condition","cell_type","n_cells","library_size_total_counts","library_size_pattern_genes","TIMP1","FTH1","MS4A7","FCGR3A","SOD2","S100A11","TYROBP","FCER1G","ACTB","SAT1","FTL","CXCL16","PSAP","CTSS","CST3","SH3BGRL3","S100A10","CD63","GAPDH","S100A6","C15orf48","PFN1","LGALS1","CD74","HLA.DRA","HLA.DRB1","HLA.DPA1","HLA.DPB1","HLA.DQB1","HLA.DQA1","HSP90AB1","HSP90AA1","ACTG1","HLA.DMA","ISG15","ISG20","IFI6","IFIT3","LY6E","IFIT1","MX1","IFIT2","IRF7","TNFSF10","OAS1","PLSCR1","BST2","CXCL10","APOBEC3A","IFITM3","RSAD2","TYMP","VIM","ANXA1","CCR7","HSPA8","EMP3","LTB","RGCC","CREM","TIMP1__cpm","FTH1__cpm","MS4A7__cpm","FCGR3A__cpm","SOD2__cpm","S100A11__cpm","TYROBP__cpm","FCER1G__cpm","ACTB__cpm","SAT1__cpm","FTL__cpm","CXCL16__cpm","PSAP__cpm","CTSS__cpm","CST3__cpm","SH3BGRL3__cpm","S100A10__cpm","CD63__cpm","GAPDH__cpm","S100A6__cpm","C15orf48__cpm","PFN1__cpm","LGALS1__cpm","CD74__cpm","HLA-DRA__cpm","HLA-DRB1__cpm","HLA-DPA1__cpm","HLA-DPB1__cpm","HLA-DQB1__cpm","HLA-DQA1__cpm","HSP90AB1__cpm","HSP90AA1__cpm","ACTG1__cpm","HLA-DMA__cpm","ISG15__cpm","ISG20__cpm","IFI6__cpm","IFIT3__cpm","LY6E__cpm","IFIT1__cpm","MX1__cpm","IFIT2__cpm","IRF7__cpm","TNFSF10__cpm","OAS1__cpm","PLSCR1__cpm","BST2__cpm","CXCL10__cpm","APOBEC3A__cpm","IFITM3__cpm","RSAD2__cpm","TYMP__cpm","VIM__cpm","ANXA1__cpm","CCR7__cpm","HSPA8__cpm","EMP3__cpm","LTB__cpm","RGCC__cpm","CREM__cpm"
"patient_1256","ctrl","FCGR3A+ Monocytes",47,65834,44897,1959,24018,393,289,1088,595,458,543,1411,512,6525,190,258,191,282,358,193,202,249,230,448,565,220,292,519,224,180,94,28,10,71,111,256,15,136,19,53,23,44,11,8,12,37,79,49,46,88,32,24,98,7,311,164,219,9,102,288,10,34,17,29756.6606920436,364826.685299389,5969.55980192606,4389.82896375733,16526.4149223805,9037.88316067685,6956.89157578151,8248.01774159249,21432.6943524623,7777.13643406143,99112.9203754899,2886.04672357748,3918.94765622627,2901.23644317526,4283.5009265729,5437.91961600389,2931.61588237081,3068.3233587508,3782.24017984628,3493.63550748853,6804.99437980375,8582.19157274357,3341.73831151077,4435.39812255066,NA,NA,NA,NA,NA,NA,1078.47009144211,1686.05887535316,3888.56821703071,NA,2065.80186529757,288.604672357748,805.05513868214,349.363550748853,668.347662302154,167.086915575538,121.51775678221,182.276635173315,562.01962511772,1199.98784822432,744.296260291035,698.727101497706,1336.69532460431,486.071027128839,364.553270346629,1488.59252058207,106.328037184434,4724.00279490841,2491.1140140353,3326.54859191299,136.707476379986,1549.35139897318,4374.63924415955,151.897195977762,516.450466324392,258.225233162196
"patient_1256","ctrl","NK cells",242,34097,10153,86,4095,1,104,21,83,214,123,355,53,716,1,51,32,13,358,60,194,316,158,15,466,110,212,14,20,43,79,8,0,61,124,161,3,126,149,22,22,140,12,37,15,28,37,24,24,113,0,0,16,5,27,205,280,29,131,132,36,101,92,2522.21603073584,120098.542393759,29.3280933806493,3050.12171158753,615.889960993636,2434.23175059389,6276.21198345895,3607.35548581987,10411.4731501305,1554.38894917441,20998.9148605449,29.3280933806493,1495.73276241312,938.498988180778,381.265213948441,10499.4574302725,1759.68560283896,5689.65011584597,9267.67750828519,4633.83875414259,439.92140070974,13666.8915153826,3226.09027187143,6217.55579669766,NA,NA,NA,NA,NA,NA,1789.01369621961,3636.68357920052,4721.82303428454,NA,3695.33976596181,4369.88591371675,645.218054374285,645.218054374285,4105.93307329091,351.937120567792,1085.13945508403,439.92140070974,821.186614658181,1085.13945508403,703.874241135584,703.874241135584,3314.07455201337,0,0,469.249494090389,146.640466903247,791.858521277532,6012.25914303311,8211.86614658181,850.51470803883,3841.98023286506,3871.30832624571,1055.81136170338,2962.13743144558,2698.18459101974
"patient_1256","stim","B cells",219,50472,26633,23,3917,5,1,43,114,11,11,709,417,922,2,37,133,6,119,35,55,149,72,16,356,45,2592,1297,732,513,389,132,168,351,313,196,54,2408,2254,695,818,526,559,522,374,369,350,252,327,297,692,17,165,106,174,116,29,721,318,174,127,15,293,455.698208907909,77607.3862735774,99.0648280234586,19.8129656046917,851.957521001744,2258.67807893485,217.942621651609,217.942621651609,14047.3926137264,8262.00665715644,18267.5542875258,39.6259312093834,733.079727373593,2635.124425424,118.87779362815,2357.74290695831,693.45379616421,1089.71310825804,2952.13187509906,1426.5335235378,317.007449675067,7053.41575527025,891.583452211127,51355.2068473609,NA,NA,NA,NA,NA,NA,6954.35092724679,6201.45823426851,3883.34125851958,NA,47709.6211760976,44658.4244729751,13770.0110952607,16207.0058646378,10421.6199080678,11075.4477730227,10342.3680456491,7410.0491361547,7310.98430813124,6934.5379616421,4992.86733238231,6478.83975273419,5884.45078459344,13710.5721984467,336.820415279759,3269.13932477413,2100.17435409732,3447.45601521636,2298.30401014424,574.57600253606,14285.1482009827,6300.52306229196,3447.45601521636,2516.24663179585,297.194484070376,5805.19892217467
"patient_1256","stim","CD14+ Monocytes",387,605408,377705,5750,89961,1050,125,8142,4347,4132,3657,3435,6661,72333,296,1279,1251,2459,2270,3132,3097,1656,1938,7040,1839,2663,2359,3331,1866,887,817,108,90,706,1523,611,159,45964,7066,2882,4181,3439,3935,1790,3123,1410,3779,1457,1620,1904,23981,6442,6137,4053,5048,1657,2928,75,622,3000,28,32,182,9497.72715259792,148595.657804324,1734.36756699614,206.472329404303,13448.7816480787,7180.28172736403,6825.14932078863,6040.55446905228,5673.85961203023,11002.4974892965,119478.104022411,488.926476029388,2112.62487446482,2066.37507267826,4061.72366404144,3749.53750198213,5173.37068555421,5115.558433321,2735.3454199482,3201.14699508431,11628.5215920503,3037.6209101961,4398.68650562926,3896.545800518,NA,NA,NA,NA,NA,NA,1166.1557164755,2515.65886146202,1009.23674612823,NA,75922.3531899149,11671.4678365664,4760.4260267456,6906.08647391511,5680.46672657117,6499.74892964745,2956.68375706961,5158.5046778371,2329.00787568053,6242.07146255087,2406.64147153655,2675.88138907976,3144.98652148634,39611.3034515566,10640.7579681801,10136.9654844336,6694.65880860511,8338.17855066336,2736.99719858343,4836.40784396638,123.883397642582,1027.40631111581,4955.33590570326,46.2498017865638,52.8569163275015,300.623711612664
"patient_1256","stim","CD4 T cells",993,146919,72595,230,15110,7,11,256,621,24,57,1741,1609,1918,8,112,271,27,1314,604,68,472,424,47,1697,51,523,69,33,69,76,18,4,910,794,484,4,7374,4353,3218,2381,2002,1990,1866,1195,940,1208,1075,663,778,500,54,885,858,214,913,1679,3192,1679,998,1703,522,692,1565.48846643389,102845.785773113,47.6453011523356,74.8711875250989,1742.45672785685,4226.81885937149,163.355318236579,387.968880811876,11850.0670437452,10951.612793444,13054.81251574,54.4517727455264,762.32481843737,1844.55380175471,183.774733016152,8943.70367345272,4111.10884228725,462.840068336975,3212.65459198606,2885.9439555129,319.904164879968,11550.5822936448,347.130051252731,3559.78464323879,NA,NA,NA,NA,NA,NA,6193.88914980363,5404.3384449935,3294.33225110435,NA,50190.921528189,29628.5708451596,21903.225586888,16206.2088633873,13626.556129568,13544.8784704497,12700.875992894,8133.73355386301,6398.08329759936,8222.21768457449,7316.95696268012,4512.6906662855,5295.43489950245,3403.2357965954,367.549466032304,6023.72735997386,5839.95262695771,1456.58492094283,6214.30856458321,11428.0658049674,21726.2573254651,11428.0658049674,6792.85865000442,11591.4211232039,3552.9781716456,4710.07834248804
"patient_1256","stim","CD8 T cells",132,27348,8928,34,984,3,25,21,85,20,8,236,123,249,2,19,57,8,237,65,56,196,94,5,216,36,131,19,28,82,96,4,0,29,89,68,6,1133,785,541,320,370,249,214,102,153,79,146,105,161,27,7,59,79,82,73,573,17,123,72,14,74,39,1243.23533713617,35980.6932865292,109.697235629662,914.143630247184,767.880649407635,3108.08834284043,731.314904197748,292.525961679099,8629.51586953342,4497.58666081615,9104.87055726196,73.1314904197747,694.74915898786,2084.24747696358,292.525961679099,8666.08161474331,2376.77343864268,2047.68173175369,7166.88606113793,3437.18004972941,182.828726049437,7898.20096533567,1316.36682755595,4790.11262249525,NA,NA,NA,NA,NA,NA,1060.40661108673,3254.35132367998,2486.47067427234,NA,41428.9893228024,28704.1099897616,19782.0681585491,11701.038467164,13529.3257276583,9104.87055726196,7825.0694749159,3729.70601140851,5594.55901711277,2888.6938715811,5338.59880064356,3839.40324703817,5887.08497879187,987.275120666959,255.960216469212,2157.37896738336,2888.6938715811,2998.39110721076,2669.29940032178,20952.1720052655,621.617668568085,4497.58666081615,2632.73365511189,511.920432938423,2705.86514553167,1426.06406318561
"patient_1256","stim","Dendritic cells",48,74909,47127,974,7001,92,4,363,506,394,178,1195,491,5697,31,119,153,726,287,479,253,346,226,881,617,364,2359,2221,1128,869,889,128,214,155,386,218,111,4509,989,503,592,568,599,393,449,379,642,233,200,435,2904,262,728,433,433,263,321,478,231,416,65,4,43,13002.4429641298,93460.0648787195,1228.15683028742,53.3981230559746,4845.87966732969,6754.86256658078,5259.7151210135,2376.21647599087,15952.6892629724,6554.61960512088,76052.2767624718,413.835453683803,1588.59416091524,2042.47820689103,9691.75933465939,3831.31532926618,6394.42523595296,3377.43128329039,4618.9376443418,3016.99395266256,11760.9366030784,8236.66048138408,4859.22919809369,31491.543072261,NA,NA,NA,NA,NA,NA,2069.17726841902,5152.91887490155,2910.19770655061,NA,60193.0342148474,13202.6859255897,6714.8139742888,7902.92221228424,7582.53347394839,7996.36892763219,5246.3655902495,5993.93931303315,5059.47215955359,8570.39875048392,3110.44066801052,2669.90615279873,5807.04588233724,38767.0373386375,3497.57706016633,9718.45839618737,5780.34682080925,5780.34682080925,3510.92659093033,4285.19937524196,6381.07570518896,3083.74160648253,5553.40479782136,867.719499659587,53.3981230559746,574.029822851727
"patient_1256","stim","FCGR3A+ Monocytes",57,95027,60791,973,15437,768,544,1088,1077,918,760,989,1107,6296,269,376,324,532,276,228,266,204,280,914,475,250,685,645,343,433,221,19,17,183,324,152,19,6591,1298,524,940,694,1139,385,575,353,1206,382,323,323,4325,682,1136,347,814,176,376,71,319,369,15,4,32,10239.1951761078,162448.567249308,8081.91356140886,5724.68877266461,11449.3775453292,11333.620970882,9660.41230387153,7997.72696181085,10407.5683753039,11649.3207193745,66254.8538836331,2830.77441148305,3956.77018110642,3409.55728371936,5598.4088732676,2904.43768613131,2399.31808854326,2799.2044366338,2146.75828974923,2946.53098593031,9618.31900407253,4998.57935113178,2630.83123743778,7208.47759057952,NA,NA,NA,NA,NA,NA,1925.76846580446,3409.55728371936,1599.54539236217,NA,69359.2347438097,13659.275784777,5514.22227366959,9891.92545276606,7303.18751512728,11986.0671177665,4051.48010565418,6050.9118461069,3714.73370726215,12691.1298893999,4019.91013080493,3399.03395876961,3399.03395876961,45513.3804076736,7176.90761573027,11954.4971429173,3651.59375756364,8565.98650909741,1852.1051911562,3956.77018110642,747.15607143233,3356.94065897061,3883.10690645816,157.849874246267,42.0932997990045,336.746398392036
"patient_1256","stim","NK cells",186,37422,14921,32,2710,2,51,18,93,190,113,244,251,406,0,29,72,10,123,49,103,147,66,19,300,46,165,21,9,38,26,3,0,27,150,113,1,1765,1292,719,685,583,380,365,233,255,250,258,332,293,64,8,339,119,109,96,655,30,220,91,14,41,98,855.111966223077,72417.2946395169,53.4444978889423,1362.83469616803,481.000481000481,2485.16915183582,5077.22729944952,3019.61413072524,6520.22874245097,6707.28448506226,10849.2330714553,0,774.945219389664,1924.00192400192,267.222489444712,3286.83662016995,1309.39019827909,2752.39164128053,3928.17059483726,1763.6684303351,507.722729944952,8016.67468334135,1229.22345144567,4409.17107583774,NA,NA,NA,NA,NA,NA,721.500721500722,4008.33734167067,3019.61413072524,NA,47164.7693869916,34525.1456362567,19213.2969910748,18304.7405269627,15579.0711346267,10154.454598899,9753.62086473198,6226.28400406178,6814.17348084015,6680.56223611779,6894.34022767356,8871.78664956443,7829.61894073005,1710.22393244615,213.777991555769,9058.84239217573,3179.94762439207,2912.72513494736,2565.33589866923,17503.0730586286,801.667468334135,5878.89476778366,2431.72465394688,374.111485222596,1095.61220672332,2618.78039655817
"patient_1488","ctrl","B cells",220,45490,19986,26,5667,2,2,20,62,12,3,1054,139,976,13,78,69,2,233,24,79,225,78,10,512,70,2907,2147,877,449,522,361,274,378,209,262,163,36,255,4,3,20,2,7,4,16,3,8,10,60,2,1,0,0,63,171,30,383,250,277,177,62,237,571.554187733568,124576.830072543,43.965706748736,43.965706748736,439.65706748736,1362.93690921082,263.794240492416,65.948560123104,23169.9274565839,3055.61661903715,21455.2648933832,285.777093866784,1714.6625632007,1516.81688283139,43.965706748736,5122.00483622774,527.588480984832,1736.64541657507,4946.1420092328,1714.6625632007,219.82853374368,11255.2209276764,1538.79973620576,63904.1547592878,NA,NA,NA,NA,NA,NA,8309.5185755111,4594.41635524291,5759.50758408441,NA,791.382721477248,5605.62761046384,87.931413497472,65.948560123104,439.65706748736,43.965706748736,153.879973620576,87.931413497472,351.725653989888,65.948560123104,175.862826994944,219.82853374368,1318.97120246208,43.965706748736,21.982853374368,0,0,1384.91976258518,3759.06792701693,659.48560123104,8419.43284238294,5495.713343592,6089.25038469993,3890.96504726314,1362.93690921082,5209.93624972521
