"pattern","rank","gene","weight"
"Pattern4",31,"CARD16",0.490015119314194
"Pattern4",32,"IFITM3",0.488744705915451
"Pattern4",33,"CMPK2",0.481962949037552
"Pattern4",34,"CD48",0.457941204309464
"Pattern4",35,"GBP4",0.454239070415497
"Pattern4",36,"LAP3",0.444855868816376
"Pattern4",37,"ANXA1",0.431919157505035
"Pattern4",38,"CD74",0.413377553224564
"Pattern4",39,"CREM",0.404439121484756
"Pattern4",40,"PLAC8",0.388908207416534
"Pattern4",41,"CLIC1",0.380893677473068
"Pattern4",42,"CLEC2D",0.377137303352356
"Pattern4",43,"CCR7",0.364540874958038
"Pattern4",44,"TYMP",0.355823278427124
"Pattern4",45,"HSP90AA1",0.353382647037506
"Pattern4",46,"CXCL10",0.352450966835022
"Pattern4",47,"CD69",0.306954890489578
"Pattern4",48,"APOBEC3G",0.296005666255951
"Pattern4",49,"CTSS",0.276969254016876
"Pattern4",50,"IFIH1",0.270019203424454
"Pattern5",1,"CXCL10",8.17831039428711
"Pattern5",2,"ISG15",7.77035284042358
"Pattern5",3,"APOBEC3A",7.38243389129639
"Pattern5",4,"IFITM3",6.76309967041016
"Pattern5",5,"FTL",6.11449909210205
"Pattern5",6,"RSAD2",5.73615598678589
"Pattern5",7,"TNFSF10",5.33551263809204
"Pattern5",8,"FTH1",4.96856784820557
"Pattern5",9,"SAT1",4.95289897918701
"Pattern5",10,"SOD2",4.65984487533569
"Pattern5",11,"ISG20",4.6575870513916
"Pattern5",12,"TYMP",4.61898517608643
"Pattern5",13,"IFIT3",4.55023384094238
"Pattern5",14,"C15orf48",4.4626350402832
"Pattern5",15,"LY6E",4.44501924514771
"Pattern5",16,"IDO1",4.4351167678833
"Pattern5",17,"IFIT1",4.36985111236572
"Pattern5",18,"TYROBP",4.23619651794434
"Pattern5",19,"CXCL11",4.1872673034668
"Pattern5",20,"S100A11",4.11853218078613
"Pattern5",21,"IFIT2",4.09198760986328
"Pattern5",22,"DYNLT1",3.93465995788574
"Pattern5",23,"CD63",3.71927428245544
"Pattern5",24,"S100A10",3.57638478279114
"Pattern5",25,"CCL2",3.55028653144836
"Pattern5",26,"ANXA5",3.50332474708557
"Pattern5",27,"IFI6",3.47390699386597
"Pattern5",28,"ANXA1",3.42577838897705
"Pattern5",29,"CST3",3.36605072021484
"Pattern5",30,"EMP3",3.28211998939514
"Pattern5",31,"FCER1G",3.25058221817017
"Pattern5",32,"PLSCR1",3.19243955612183
"Pattern5",33,"TNFSF13B",3.1814444065094
"Pattern5",34,"OAS1",3.08245754241943
"Pattern5",35,"BST2",2.96025228500366
"Pattern5",36,"IL1RN",2.92688989639282
"Pattern5",37,"IRF7",2.91019463539124
"Pattern5",38,"CLIC1",2.89224720001221
"Pattern5",39,"MX1",2.85744571685791
"Pattern5",40,"ANXA2",2.77392959594727
"Pattern5",41,"CTSB",2.67653155326843
"Pattern5",42,"NPC2",2.54163146018982
"Pattern5",43,"SDCBP",2.52787375450134
"Pattern5",44,"GBP1",2.49123859405518
"Pattern5",45,"LGALS1",2.47216558456421
"Pattern5",46,"HSPA1A",2.42453050613403
"Pattern5",47,"GSTO1",2.3664083480835
"Pattern5",48,"TXN",2.34902548789978
"Pattern5",49,"LGALS3",2.34372973442078
"Pattern5",50,"VIM",2.3351628780365
"Pattern6",1,"FTH1",12.9676628112793
"Pattern6",2,"FTL",5.56545400619507
"Pattern6",3,"ACTB",5.14597940444946
"Pattern6",4,"PFN1",3.59252691268921
