"gene","pattern","rank","cogaps_weight","contrast_scope","mean_log2fc_stim_vs_ctrl","median_log2fc_stim_vs_ctrl","n_pairs","n_up_pairs","n_down_pairs","n_zero_pairs","sign_consistency","wilcoxon_pvalue","direction","evidence_strength","wilcoxon_fdr"
"LY6E","Pattern5",15,4.44501924514771,"global",4.18328625296589,4.07367569844011,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"FTH1","Pattern6",1,12.9676628112793,"global",-1.0809246736652,-1.05921027187755,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"FTL","Pattern6",2,5.56545400619507,"global",-0.593321764978219,-0.578827954251635,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"ACTB","Pattern6",3,5.14597940444946,"global",-1.19113445064019,-1.20325067028597,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"PFN1","Pattern6",4,3.59252691268921,"global",-1.15294391276048,-1.13339028047681,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"SH3BGRL3","Pattern6",5,2.96568727493286,"global",-0.949967174431422,-0.915271006930608,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"VIM","Pattern6",6,1.93771183490753,"global",-0.902898406678067,-0.884703406491428,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"ANXA1","Pattern6",7,1.75308179855347,"global",0.299459199082609,0.302892570692735,8,8,0,0,1,0.0142661867014469,"up_in_stim","moderate",0.0164371281560149
"GAPDH","Pattern6",8,1.47873985767365,"global",-1.16692672433674,-1.16864362904946,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"CCR7","Pattern6",9,1.33963072299957,"global",0.376135639840439,0.344686284956127,8,7,1,0,0.875,0.0800579199844347,"up_in_stim","moderate",0.0831974462583342
"HSPA8","Pattern6",10,1.26981425285339,"global",0.248355767826717,0.200453520672966,8,8,0,0,1,0.0142661867014469,"up_in_stim","suggestive",0.0164371281560149
"EMP3","Pattern6",11,1.25110065937042,"global",-0.317505209450502,-0.347236774574788,8,0,8,0,1,0.0142661867014469,"down_in_stim","moderate",0.0164371281560149
"LTB","Pattern6",12,1.19015574455261,"global",-0.451612568539537,-0.475159036502482,8,0,8,0,1,0.0142661867014469,"down_in_stim","moderate",0.0164371281560149
"RGCC","Pattern6",13,1.08750975131989,"global",-1.68658261752565,-1.60958054775936,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"ACTG1","Pattern6",14,0.879792630672455,"global",-0.904648467702471,-0.898069013650399,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"CREM","Pattern6",15,0.856085419654846,"global",0.235132323890894,0.195686599345898,8,7,1,0,0.875,0.0208625823327655,"up_in_stim","suggestive",0.0230357679924286
